transaction_id,customer_id,date,amount,currency,status
TXN132,CUST983,01-12-2025,¥74554.14,CNY,failed
TXN133,CUST820,30-11-2025,¥81803.20,JPY,failed
TXN134,CUST283,19-08-2025,47679.26,CAD,completed
TXN135,CUST936,03/08/2025,22337.91,JPY,completed
TXN136,CUST532,22-04-2025,68673.55,USD,COMPLETED
TXN137,CUST371,20250917,46195.34,CHF,CANCELLED
TXN138,CUST165,2025-10-24,¥19071.05,JPY,CANCELLED
TXN139,CUST367,2025-04-21,9062.42,USD,COMPLETED
TXN140,CUST788,06-07-2025,75365.74,CHF,OK
TXN141,CUST794,2025-11-12,89513.93,USD,CANCELLED
TXN142,CUST712,2025-08-13,£29894.10,GBP,FAILED
TXN143,CUST365,13-05-2025,¥72338.38,CNY,FAILED
TXN144,CUST326,05/18/2025,32519.69,USD,FAILED
TXN145,CUST973,10/29/2025,¥98390.28,CNY,completed
TXN146,CUST133,08-10-2025,17612.38,EUR,cancelled
TXN147,CUST595,27-09-2025,88793.04,JPY,COMPLETED
TXN148,CUST284,11/07/2025,£54320.34,GBP,failed
TXN149,CUST425,31-03-2025,$25446.16,USD,CANCELLED
TXN150,CUST495,09/03/2025,60468.62,GBP,cancelled
TXN151,CUST819,18-09-2025,54514.92,CNY,success
TXN152,CUST337,20251224,26437.01,AUD,failed
TXN153,CUST681,10/04/2025,85550.35,CAD,pending
TXN154,CUST295,05/28/2025,85275.45,GBP,FAILED
TXN155,CUST944,2025-06-03,84274.18,USD,PROCESSING
TXN156,CUST729,20250413,62509.62,USD,success
TXN157,CUST391,08/10/2025,"£57,171.65",GBP,CANCELLED
TXN158,CUST494,2025-05-07,4655.01,USD,FAILED
TXN159,CUST880,10/14/2025,34657.64,EUR,success
TXN160,CUST414,20250514,62059.01,CHF,pending
TXN161,CUST248,12-10-2025,62740.20,CAD,failed
TXN162,CUST743,20250804,26301.37,EUR,completed
TXN163,CUST905,09/08/2025,63326.28,EUR,CANCELLED
TXN164,CUST927,26-08-2025,33136.63,USD,cancelled
TXN165,CUST902,04/04/2025,44357.77,CAD,CANCELLED
TXN166,CUST784,2025-07-14,¥32709.94,JPY,completed
TXN167,CUST240,2025-07-06,€91862.25,EUR,PROCESSING
TXN168,CUST584,09/15/2025,12911.15,JPY,FAILED
TXN169,CUST620,02/16/2025,74190.71,CAD,success
TXN170,CUST502,16-02-2025,73900.77,CHF,COMPLETED
TXN171,CUST630,08-01-2025,78996.31,CAD,failed
TXN172,CUST919,20251022,1833.64,EUR,CANCELLED
TXN173,CUST297,30-11-2025,7443.96,USD,pending
TXN174,CUST292,2025-02-12,€9186.82,EUR,cancelled
TXN175,CUST329,2025-06-19,¥4974.97,CNY,OK
TXN176,CUST579,2025-05-16,98148.47,CAD,PROCESSING
TXN177,CUST984,15-10-2025,87908.37,USD,COMPLETED
TXN178,CUST125,04-08-2025,42072.66,USD,PROCESSING
TXN179,CUST768,20250508,£19335.61,GBP,failed
TXN180,CUST907,10/31/2025,€70915.35,EUR,FAILED
TXN181,CUST252,24-08-2025,4133.43,USD,cancelled
TXN182,CUST797,01-10-2025,86278.76,AUD,PROCESSING
TXN183,CUST863,29-08-2025,31621.41,CNY,failed
TXN184,CUST911,08/15/2025,"€23,200.85",EUR,pending
TXN185,CUST218,20250525,24144.37,GBP,PROCESSING
TXN186,CUST703,20250913,70476.98,JPY,OK
TXN187,CUST510,20250311,53563.31,GBP,FAILED
TXN188,CUST326,20250206,32036.86,EUR,FAILED
TXN189,CUST755,24-08-2025,68269.93,USD,pending
TXN190,CUST823,2025-08-19,88144.98,CHF,COMPLETED
TXN191,CUST266,14-03-2025,"£87,807.73",GBP,PROCESSING
TXN192,CUST235,20251111,56821.70,AUD,PROCESSING
TXN193,CUST268,20251013,€92606.62,EUR,success
TXN194,CUST120,19-03-2025,¥81752.24,JPY,FAILED
TXN195,CUST621,18-04-2025,82524.32,CNY,failed
TXN196,CUST535,25-06-2025,76211.12,CHF,completed
TXN197,CUST879,11/03/2025,10515.08,CAD,CANCELLED
TXN198,CUST121,2025-06-27,70922.83,EUR,cancelled
TXN199,CUST164,20250113,€39518.67,EUR,COMPLETED
TXN200,CUST512,2025-05-30,50920.74,GBP,OK
